"order","is_PE3","is_PE2","is_PE"
3806,NA,NA,NA
5003,FALSE,NA,NA
6673,FALSE,FALSE,FALSE
2320,NA,TRUE,TRUE
6103,FALSE,FALSE,FALSE
4002,FALSE,FALSE,FALSE
7418,FALSE,FALSE,FALSE
3776,FALSE,FALSE,FALSE
3075,FALSE,FALSE,FALSE
1347,NA,NA,NA
6537,FALSE,NA,NA
4480,FALSE,FALSE,FALSE
7454,FALSE,FALSE,FALSE
5360,FALSE,NA,FALSE
4062,NA,FALSE,FALSE
5768,FALSE,NA,NA
5015,NA,NA,NA
599,FALSE,FALSE,FALSE
4499,FALSE,FALSE,FALSE
6072,FALSE,FALSE,FALSE
2268,FALSE,FALSE,FALSE
1107,FALSE,FALSE,FALSE
2432,NA,NA,NA
7642,FALSE,NA,NA
1391,NA,NA,NA
7673,FALSE,FALSE,FALSE
1802,FALSE,FALSE,FALSE
2330,FALSE,NA,NA
548,FALSE,NA,FALSE
1824,FALSE,FALSE,FALSE
4254,NA,NA,NA
3096,NA,NA,NA
3239,FALSE,FALSE,FALSE
2707,NA,NA,NA
250,NA,NA,NA
4416,FALSE,FALSE,FALSE
3867,NA,TRUE,NA
6279,FALSE,FALSE,FALSE
6535,FALSE,FALSE,FALSE
4210,NA,NA,NA
5881,FALSE,FALSE,FALSE
6519,TRUE,NA,TRUE
113,NA,NA,NA
2205,FALSE,FALSE,TRUE
6409,FALSE,FALSE,FALSE
2514,FALSE,FALSE,FALSE
5866,NA,TRUE,NA
705,NA,NA,NA
441,TRUE,TRUE,TRUE
6994,FALSE,NA,NA
1605,NA,NA,NA
52,NA,NA,NA
1501,NA,FALSE,NA
556,FALSE,FALSE,FALSE
1718,FALSE,FALSE,FALSE
2036,NA,FALSE,FALSE
5876,FALSE,FALSE,FALSE
5138,FALSE,FALSE,FALSE
257,FALSE,FALSE,FALSE
3511,NA,FALSE,FALSE
2303,FALSE,FALSE,FALSE
476,FALSE,FALSE,FALSE
4161,FALSE,FALSE,FALSE
4884,FALSE,FALSE,FALSE
2255,NA,NA,NA
3666,NA,NA,FALSE
858,FALSE,FALSE,FALSE
2553,NA,NA,NA
360,FALSE,FALSE,FALSE
5877,TRUE,FALSE,FALSE
5515,FALSE,NA,NA
4052,NA,NA,NA
3087,FALSE,NA,FALSE
4560,FALSE,FALSE,FALSE
6433,NA,FALSE,FALSE
5742,NA,NA,NA
1609,NA,NA,NA
5209,FALSE,FALSE,FALSE
5292,FALSE,NA,NA
2000,FALSE,FALSE,FALSE
4450,FALSE,NA,NA
2912,TRUE,TRUE,TRUE
4514,NA,NA,NA
5653,FALSE,FALSE,FALSE
3749,FALSE,FALSE,FALSE
4008,FALSE,FALSE,FALSE
6227,FALSE,FALSE,FALSE
2083,NA,FALSE,FALSE
4926,FALSE,FALSE,FALSE
6588,FALSE,FALSE,FALSE
3478,FALSE,TRUE,TRUE
3210,NA,NA,NA
4695,NA,NA,NA
4199,FALSE,FALSE,FALSE
2269,FALSE,FALSE,FALSE
6268,FALSE,FALSE,FALSE
500,FALSE,FALSE,FALSE
377,FALSE,FALSE,FALSE
6718,FALSE,TRUE,NA
3622,FALSE,FALSE,FALSE
2750,FALSE,FALSE,FALSE
65,FALSE,TRUE,TRUE
