node_id module flow
380474 1 0.00126678
118065 1 0.00123715
40115 1 0.00117047
130970 1 0.00115566
397572 1 0.00108899
204997 1 0.00108899
72423 1 0.00105195
122039 1 0.00101491
418260 1 0.000948232
262772 1 0.000926008
175501 1 0.000926008
208560 1 0.00088156
245249 1 0.000807479
20594 1 0.000777847
54140 1 0.000777847
463143 1 0.000770439
133769 1 0.000763031
307519 1 0.000740807
112651 1 0.000733399
110909 1 0.00072599
195792 1 0.000703766
324303 1 0.000696358
131378 1 0.00068895
169688 1 0.000681542
256 1 0.00065191
109322 1 0.00065191
368951 1 0.000637094
319463 1 0.000622278
309644 1 0.000614869
182876 1 0.000607461
265520 1 0.000585237
503797 1 0.000585237
209117 1 0.000548197
375007 1 0.000540789
111563 1 0.000525973
181123 1 0.000518565
68118 1 0.000503748
80336 1 0.000488932
328887 1 0.000488932
348975 1 0.000481524
177439 1 0.000474116
279184 1 0.0004593
170305 1 0.000451892
319455 1 0.000444484
502339 1 0.00042226
253669 1 0.000414852
235788 1 0.000414852
359304 1 0.000414852
366509 1 0.000407444
6494 1 0.000407444
140874 1 0.000400036
132175 1 0.000400036
298916 1 0.000392627
62395 1 0.000385219
347729 1 0.000370403
72517 1 0.000362995
107887 1 0.000348179
370342 1 0.000333363
353496 1 0.000333363
183867 1 0.000325955
282693 1 0.000318547
17724 1 0.000318547
84249 1 0.000303731
181851 1 0.000303731
258450 1 0.000296323
504487 1 0.000296323
39145 1 0.000288915
83341 1 0.000281507
37867 1 0.000274098
266945 1 0.000274098
285541 1 0.000274098
475085 1 0.000274098
304601 1 0.00026669
473265 1 0.00026669
465301 1 0.000259282
459041 1 0.000251874
36928 1 0.000244466
48685 1 0.00022965
144417 1 0.00022965
223032 1 0.00022965
412383 1 0.000222242
182820 1 0.000214834
81846 1 0.000214834
366086 1 0.000214834
458023 1 0.00019261
265849 1 0.00019261
186848 1 0.000185202
317111 1 0.000185202
145067 1 0.000185202
320734 1 0.000170386
304981 1 0.000170386
12580 1 0.000162977
462289 1 0.000155569
157954 1 0.000155569
291177 1 0.000155569
439432 1 0.000148161
475486 1 0.000140753
347912 1 0.000133345
124863 1 0.000133345
425747 1 0.000125937
388897 1 0.000125937
182773 1 0.000118529
28714 1 0.000118529
104027 1 0.000111121
174900 1 0.000111121
283984 1 0.000111121
482096 1 0.000111121
379645 1 0.000111121
3824486 1 0.000103713
406496 1 0.000103713
240716 1 0.000103713
116337 1 0.000103713
418333 1 0.000103713
382230 1 0.000103713
506224 1 9.63049e-05
119315 1 9.63049e-05
