Source,Target,Type,Id,Label,Weight
268109,11704,Undirected,100,,23
268109,466435,Undirected,101,,8
268109,450360,Undirected,102,,5
268109,216737,Undirected,103,,6
268109,51413,Undirected,104,,6
268109,111839,Undirected,105,,5
268109,149991,Undirected,106,,5
268109,307693,Undirected,107,,2
268109,329999,Undirected,108,,3
268109,201301,Undirected,109,,2
268109,366236,Undirected,110,,2
268109,295351,Undirected,111,,7
268109,272518,Undirected,112,,20
268109,422631,Undirected,113,,2
268109,146930,Undirected,114,,10
268109,462828,Undirected,115,,12
268109,255184,Undirected,116,,3
268109,233364,Undirected,117,,2
268109,217019,Undirected,118,,3
268109,391592,Undirected,119,,3
268109,328605,Undirected,120,,2
268109,141446,Undirected,121,,2
268109,75950,Undirected,122,,2
268109,367110,Undirected,123,,3
268109,369857,Undirected,124,,6
268109,381324,Undirected,125,,32
268109,93396,Undirected,126,,50
268109,369261,Undirected,127,,6
268109,75792,Undirected,128,,2
268109,333722,Undirected,129,,14
268109,180379,Undirected,130,,29
268109,329021,Undirected,131,,2
268109,108485,Undirected,132,,3
268109,435498,Undirected,133,,3
268109,147072,Undirected,134,,5
268109,160700,Undirected,135,,29
268109,353406,Undirected,136,,3
268109,319009,Undirected,137,,3
268109,192114,Undirected,138,,8
268109,1299,Undirected,139,,2
268109,386329,Undirected,140,,3
268109,382466,Undirected,141,,6
268109,46969,Undirected,142,,18
268109,147534,Undirected,143,,2
268109,23337,Undirected,144,,9
268109,306027,Undirected,145,,2
268109,137290,Undirected,146,,9
268109,322998,Undirected,147,,2
268109,317331,Undirected,148,,6
268109,302010,Undirected,149,,4
268109,349930,Undirected,150,,8
268109,440294,Undirected,151,,7
268109,393725,Undirected,152,,2
268109,122757,Undirected,153,,31
268109,136395,Undirected,154,,5
268109,217233,Undirected,155,,3
268109,320286,Undirected,156,,2
268109,118212,Undirected,157,,10
268109,345158,Undirected,158,,16
268109,61824,Undirected,159,,3
268109,178609,Undirected,160,,2
268109,52351,Undirected,161,,3
268109,197203,Undirected,162,,3
268109,317922,Undirected,163,,2
268109,79562,Undirected,164,,2
268109,373314,Undirected,165,,11
268109,88036,Undirected,166,,6
268109,294668,Undirected,167,,49
268109,361299,Undirected,168,,3
268109,10804,Undirected,169,,4
268109,366315,Undirected,170,,11
268109,443456,Undirected,171,,4
268109,339308,Undirected,172,,9
268109,118799,Undirected,173,,2
268109,326393,Undirected,174,,2
268109,326432,Undirected,175,,7
268109,423685,Undirected,176,,2
268109,394206,Undirected,177,,2
268109,124392,Undirected,178,,3
268109,323159,Undirected,179,,7
268109,376954,Undirected,180,,2
268109,111765,Undirected,181,,2
268109,21967,Undirected,182,,18
268109,275696,Undirected,183,,2
268109,194415,Undirected,184,,6
268109,193426,Undirected,185,,18
268109,214640,Undirected,186,,8
268109,203761,Undirected,187,,6
268109,452058,Undirected,188,,8
268109,163926,Undirected,189,,2
268109,292751,Undirected,190,,22
268109,307087,Undirected,191,,5
268109,269975,Undirected,192,,4
268109,457969,Undirected,193,,9
268109,314154,Undirected,194,,5
268109,171137,Undirected,195,,13
268109,28350,Undirected,196,,3
268109,423416,Undirected,197,,2
268109,298693,Undirected,198,,16
268109,410407,Undirected,199,,26
268109,219992,Undirected,200,,5
268109,297823,Undirected,201,,9
268109,160726,Undirected,202,,4
268109,427915,Undirected,203,,5
268109,215001,Undirected,204,,3
268109,334839,Undirected,205,,21
268109,275897,Undirected,206,,8
268109,404907,Undirected,207,,4
268109,283914,Undirected,208,,24
268109,55278,Undirected,209,,15
268109,50197,Undirected,210,,8
268109,202280,Undirected,211,,12
268109,49572,Undirected,212,,27
268109,712066,Undirected,213,,23
268109,384839,Undirected,214,,7
268109,1805078,Undirected,215,,2
268109,34735,Undirected,216,,2
268109,134812,Undirected,217,,3
268109,372655,Undirected,218,,5
268109,178254,Undirected,219,,3
268109,237233,Undirected,220,,2
268109,74417,Undirected,221,,5
268109,284000,Undirected,222,,4
268109,455426,Undirected,223,,3
268109,452617,Undirected,224,,5
268109,40843,Undirected,225,,2
268109,275361,Undirected,226,,2
268109,405698,Undirected,227,,2
268109,490784,Undirected,228,,14
268109,35105,Undirected,229,,3
