path	flow	name	node_id
1:1:301	6.65E-05	384408	384408
1:1:302	6.65E-05	361776	361776
1:1:303	6.65E-05	107399	107399
1:1:304	6.65E-05	290477	290477
1:1:305	6.52E-05	174191	174191
1:1:306	6.52E-05	102929	102929
1:1:307	6.52E-05	461749	461749
1:1:308	6.52E-05	149210	149210
1:1:309	6.25E-05	1868286	1868286
1:1:310	6.25E-05	381749	381749
1:1:311	6.12E-05	120790	120790
1:1:312	6.12E-05	97090	97090
1:1:313	5.85E-05	129644	129644
1:1:314	5.72E-05	33488	33488
1:1:315	5.72E-05	337342	337342
1:1:316	5.72E-05	408800	408800
1:1:317	5.72E-05	199561	199561
1:1:318	5.58E-05	267422	267422
1:1:319	5.45E-05	426376	426376
1:1:320	5.45E-05	365431	365431
1:1:321	5.45E-05	83322	83322
1:1:322	5.45E-05	207174	207174
1:1:323	5.45E-05	5827	5827
1:1:324	5.32E-05	425122	425122
1:1:325	5.32E-05	149841	149841
1:1:326	5.19E-05	40970	40970
1:1:327	5.19E-05	313131	313131
1:1:328	5.05E-05	17686	17686
1:1:329	4.92E-05	85446	85446
1:1:330	4.79E-05	25120	25120
1:1:331	4.79E-05	7815	7815
1:1:332	4.65E-05	317579	317579
1:1:333	4.65E-05	415980	415980
1:1:334	4.65E-05	107580	107580
1:1:335	4.65E-05	144604	144604
1:1:336	4.65E-05	258289	258289
1:1:337	4.52E-05	311972	311972
1:1:338	4.52E-05	676040	676040
1:1:339	4.39E-05	248757	248757
1:1:340	4.39E-05	440639	440639
1:1:341	4.39E-05	457212	457212
1:1:342	4.39E-05	260204	260204
1:1:343	4.26E-05	464553	464553
1:1:344	4.26E-05	345696	345696
1:1:345	4.26E-05	331302	331302
1:1:346	4.12E-05	249441	249441
1:1:347	4.12E-05	65314	65314
1:1:348	4.12E-05	389849	389849
1:1:349	4.12E-05	432077	432077
1:1:350	4.12E-05	339429	339429
1:1:351	3.99E-05	284176	284176
1:1:352	3.99E-05	85341	85341
1:1:353	3.99E-05	887869	887869
1:1:354	3.99E-05	317302	317302
1:1:355	3.86E-05	26210	26210
1:1:356	3.86E-05	262750	262750
1:1:357	3.86E-05	174960	174960
1:1:358	3.86E-05	191573	191573
1:1:359	3.72E-05	417743	417743
1:1:360	3.72E-05	112096	112096
1:1:361	3.72E-05	111765	111765
1:1:362	3.72E-05	224365	224365
1:1:363	3.72E-05	448267	448267
1:1:364	3.72E-05	453188	453188
1:1:365	3.59E-05	2762836	2762836
1:1:366	3.59E-05	121670	121670
1:1:367	3.59E-05	227415	227415
1:1:368	3.59E-05	394005	394005
1:1:369	3.59E-05	18205	18205
1:1:370	3.46E-05	127124	127124
1:1:371	3.46E-05	59878	59878
1:1:372	3.46E-05	436999	436999
1:1:373	3.32E-05	86071	86071
1:1:374	3.32E-05	133231	133231
1:1:375	3.32E-05	95472	95472
1:1:376	3.32E-05	172225	172225
1:1:377	3.32E-05	404736	404736
1:1:378	3.32E-05	29588	29588
1:1:379	3.19E-05	248028	248028
1:1:380	3.19E-05	85259	85259
1:1:381	3.19E-05	384428	384428
1:1:382	3.19E-05	354079	354079
1:1:383	3.19E-05	441637	441637
1:1:384	3.19E-05	218283	218283
1:1:385	3.06E-05	148186	148186
1:1:386	2.93E-05	426299	426299
1:1:387	2.93E-05	92825	92825
1:1:388	2.93E-05	230191	230191
1:1:389	2.93E-05	41090	41090
1:1:390	2.93E-05	462211	462211
1:1:391	2.93E-05	325734	325734
1:1:392	2.93E-05	86774	86774
