Source Target Weight
250291 171137 47
444562 331059 47
371959 192358 47
371959 226782 47
432674 273946 47
307171 20904 47
163608 381324 47
163608 122757 47
180681 398876 47
306228 284000 47
273946 41599 47
93696 453333 47
307519 118065 47
157744 226782 47
226782 57484 47
33168 85648 47
22805 146587 47
292751 51948 47
454904 203910 47
238392 60920 47
2570623 97375 47
250291 383836 46
250291 275897 46
444562 33168 46
110898 93396 46
307171 211676 46
307171 49572 46
163608 292751 46
237487 311008 46
315203 452617 46
307519 418260 46
157744 202280 46
206582 334839 46
226782 410407 46
314698 49572 46
10804 202280 46
334839 410407 46
51948 298693 46
51948 55278 46
369556 410407 46
712066 202280 46
331059 85648 46
175501 262772 46
204997 133769 46
667801 446066 46
97375 1443854 46
28351 174746 46
250291 194415 45
165445 398876 45
165445 206582 45
110898 249638 45
371959 309240 45
195792 130970 45
406150 177706 45
277693 318410 45
409056 157744 45
72423 133769 45
72423 40115 45
307519 397572 45
206582 410407 45
206582 712066 45
82628 417781 45
334839 712066 45
51948 283914 45
118674 331059 45
132873 404310 45
169688 262772 45
28351 2224469 45
14799 352482 45
352482 411075 45
250291 30844 44
12852 294668 44
12852 314282 44
294668 192358 44
110898 192358 44
192358 51948 44
163608 413071 44
180681 353309 44
150286 83027 44
82628 164484 44
122757 55278 44
311008 2367 44
413071 55278 44
413071 712066 44
413071 410407 44
2367 265751 44
22805 103107 44
10804 55278 44
292751 283914 44
259708 38951 44
169688 40115 44
169688 130970 44
289030 284000 44
204997 109322 44
380474 133769 44
301420 188577 44
667801 1852803 44
292753 2508045 44
352482 383094 44
250291 462828 43
165445 390071 43
165445 157744 43
371959 314698 43
432674 453333 43
432674 454904 43
272518 192358 43
307171 410407 43
192358 334839 43
192358 398876 43
163608 22242 43
195792 204997 43
40843 289030 43
40843 452617 43
359327 213947 43
275897 202280 43
82628 430532 43
92954 177706 43
83027 213686 43
314698 292751 43
57484 334839 43
33168 118674 43
180379 36944 43
454904 238392 43
397572 109322 43
208560 175501 43
28351 71834 43
28351 1035774 43
250291 118212 42
371959 405164 42
371959 180681 42
371959 49572 42
307171 249638 42
307171 180379 42
192358 233210 42
163608 28372 42
180681 92853 42
16 165975 42
359327 103107 42
275897 49572 42
157744 374035 42
206582 159172 42
206582 413071 42
206582 57484 42
122757 57484 42
417781 49572 42
