Id,order,stance_1,stance_2,stance_3
140865,261,1 (pro),1 (pro),1 (pro)
41599,262,1 (pro),2 (neutral),2 (neutral)
118674,263,1 (pro),1 (pro),1 (pro)
409056,264,2 (neutral),2 (neutral),2 (neutral)
2367,265,2 (neutral),1 (pro),1 (pro)
409056,266,2 (neutral),2 (neutral),2 (neutral)
237487,267,1 (pro),1 (pro),1 (pro)
118674,268,1 (pro),1 (pro),1 (pro)
364448,269,1 (pro),1 (pro),2 (neutral)
444562,270,2 (neutral),2 (neutral),1 (pro)
453052,271,1 (pro),1 (pro),1 (pro)
417781,272,2 (neutral),2 (neutral),2 (neutral)
92954,273,1 (pro),1 (pro),1 (pro)
307171,274,3 (anti),3 (anti),3 (anti)
41599,275,1 (pro),1 (pro),1 (pro)
405164,276,3 (anti),3 (anti),3 (anti)
462828,277,2 (neutral),2 (neutral),2 (neutral)
226782,278,2 (neutral),2 (neutral),2 (neutral)
250291,279,2 (neutral),2 (neutral),2 (neutral)
371959,280,3 (anti),3 (anti),3 (anti)
60920,281,1 (pro),1 (pro),2 (neutral)
41599,282,2 (neutral),1 (pro),2 (neutral)
233210,283,2 (neutral),2 (neutral),2 (neutral)
165445,284,2 (neutral),2 (neutral),3 (anti)
364448,285,1 (pro),1 (pro),2 (neutral)
2367,286,2 (neutral),2 (neutral),2 (neutral)
171137,287,3 (anti),1 (pro),2 (neutral)
49572,288,3 (anti),3 (anti),3 (anti)
405164,289,3 (anti),3 (anti),2 (neutral)
453052,290,1 (pro),1 (pro),1 (pro)
49572,291,3 (anti),3 (anti),3 (anti)
273946,292,1 (pro),1 (pro),2 (neutral)
132873,293,1 (pro),2 (neutral),2 (neutral)
38951,294,1 (pro),1 (pro),2 (neutral)
49572,295,2 (neutral),2 (neutral),2 (neutral)
2367,296,1 (pro),1 (pro),1 (pro)
453052,297,1 (pro),1 (pro),1 (pro)
41599,298,1 (pro),1 (pro),1 (pro)
92954,299,2 (neutral),2 (neutral),2 (neutral)
405164,300,2 (neutral),2 (neutral),1 (pro)
268109,301,3 (anti),2 (neutral),3 (anti)
163608,302,3 (anti),2 (neutral),2 (neutral)
180681,303,2 (neutral),2 (neutral),2 (neutral)
180681,304,2 (neutral),2 (neutral),2 (neutral)
454904,305,1 (pro),1 (pro),1 (pro)
259708,306,1 (pro),1 (pro),2 (neutral)
118674,307,2 (neutral),1 (pro),2 (neutral)
331059,308,1 (pro),1 (pro),1 (pro)
148200,309,1 (pro),1 (pro),1 (pro)
12852,310,2 (neutral),2 (neutral),2 (neutral)
171137,311,2 (neutral),2 (neutral),2 (neutral)
331059,312,2 (neutral),1 (pro),2 (neutral)
237487,313,1 (pro),1 (pro),1 (pro)
432674,314,1 (pro),1 (pro),2 (neutral)
259708,315,3 (anti),3 (anti),3 (anti)
273946,316,1 (pro),1 (pro),1 (pro)
