"Id","path1","is_PE","old_path1","in_orig","old_comm","old_comm.is_PE","path1.is_PE","Community","Degree","Betweenness","PageRank","Bridge"
2131950,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,6,1216.42672822758,1.58704446955275e-05,0
213208,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",25,53.7045087250863,2.86763427011203e-05,0
2132343,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",1,0,1.45773019645659e-05,0
213315,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",28,1273.52650159832,2.32782742476754e-05,0
2133562,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,253,647.579982405634,0.00016458125270796,0
2134107,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",25,645.724502816975,2.0981304799665e-05,0
213429,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",14,1722.98971861472,2.22504133830216e-05,3
213473,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",43,166.863082093345,2.7196415261773e-05,0
2135656,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,3,3,1.72746355285093e-05,0
213605,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,1,0,1.45848377313825e-05,0
2136086,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,2,0,1.49010737258938e-05,0
213686,2,TRUE,2,TRUE,"Pro-vaccine","Pro-vaccine TRUE","2 TRUE","Pro-vaccine",522,76699.342952069,0.00114135915842699,1
213751,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",8,11.4501731559226,1.7073184987206e-05,0
213758,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",217,4849.18942046086,0.000158077883502383,1
213783,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,44,5633.19556970808,4.63125586217208e-05,0
213828,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",32,547.537842712843,3.42997861112655e-05,4
213862,2,TRUE,NA,FALSE,NA,"NA TRUE","2 TRUE","Pro-vaccine",1,0,2.18768118989991e-05,0
213947,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",489,137036.624657262,0.00101557698581288,1
214024,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",25,162.167500641655,1.95293000619536e-05,0
2140885,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,14,110.648633441722,1.83808367648777e-05,0
214163,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",10,26.2444444444444,3.32109336283696e-05,0
214177,1,NA,NA,FALSE,NA,"NA NA","1 NA","Anti-vaccine",2,0,1.48430159359718e-05,0
214222,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",2,0,1.5089366654885e-05,0
214239,3,FALSE,3,TRUE,"micro","micro FALSE","3 FALSE",NA,302,7112.78602328773,0.000246822685700296,1
214266,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",63,438.16898949924,2.93464569651707e-05,0
214282,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",2,0,2.04656815173344e-05,0
2143051,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,6,2389.60086580087,2.23707606323933e-05,0
214353,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",1,0,4.03127942369689e-05,0
214355,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",83,91.0274569874569,7.08980203743164e-05,0
214357,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",48,4564.27500070355,9.92148630267807e-05,0
2143699,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,11,151.091904337492,1.89969456243069e-05,0
214398,2,FALSE,2,TRUE,"Pro-vaccine","Pro-vaccine FALSE","2 FALSE","Pro-vaccine",129,17289.0281118392,0.00014222278216828,0
2145719,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,11,803.971414021994,1.7226381506877e-05,0
214582,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",18,6228.85372136634,2.89215212305517e-05,1
214640,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",300,487.891139017772,0.000191854041612782,0
214719,50,FALSE,NA,FALSE,NA,"NA FALSE","50 FALSE",NA,1,0,9.54562810233258e-05,0
21478,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",4,51.6166666666667,1.61520658593554e-05,0
214876,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",6,22.6428571428571,2.29966896084309e-05,0
2149235,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,14,203.693582294898,1.87565403205706e-05,0
2149258,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",65,138.292764499451,3.72618987661677e-05,0
214951,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",1,0,1.48047032144037e-05,0
2149546,3,NA,NA,FALSE,NA,"NA NA","3 NA",NA,24,547.530739355208,8.41931408371763e-05,0
214966,2,TRUE,2,TRUE,"Pro-vaccine","Pro-vaccine TRUE","2 TRUE","Pro-vaccine",177,2641.82233299466,0.000155130822159374,0
215,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",29,1448.70576927553,9.30205600953235e-05,3
215001,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",200,829.035493057721,8.61628090381991e-05,0
215007,1,NA,NA,FALSE,NA,"NA NA","1 NA","Anti-vaccine",10,433.249242424243,1.90375629659281e-05,2
215008,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",1,0,1.46311111184851e-05,0
215143,1,TRUE,1,TRUE,"Anti-vaccine","Anti-vaccine TRUE","1 TRUE","Anti-vaccine",79,18066.7266289477,6.91564237179428e-05,38
215195,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,210,882.042645263233,0.00013601862273775,0
215334,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",48,69.0563492063492,6.10384495637244e-05,0
215435,2,FALSE,NA,FALSE,NA,"NA FALSE","2 FALSE","Pro-vaccine",1,0,1.47417299029202e-05,0
2154850,3,FALSE,NA,FALSE,NA,"NA FALSE","3 FALSE",NA,113,3709.11694873752,6.95814841614729e-05,0
21552,2,NA,NA,FALSE,NA,"NA NA","2 NA","Pro-vaccine",1,0,1.76278721750643e-05,0
215553,1,NA,1,TRUE,"Anti-vaccine","Anti-vaccine NA","1 NA","Anti-vaccine",12,553.99908008658,2.03110213274933e-05,0
215604,2,NA,2,TRUE,"Pro-vaccine","Pro-vaccine NA","2 NA","Pro-vaccine",2,9990,2.89708026669276e-05,0
215636,1,FALSE,NA,FALSE,NA,"NA FALSE","1 FALSE","Anti-vaccine",98,10645.6578865579,0.000184713436207732,0
215658,1,FALSE,1,TRUE,"Anti-vaccine","Anti-vaccine FALSE","1 FALSE","Anti-vaccine",26,34.746184547855,2.12578907256469e-05,0
215746,1,NA,NA,FALSE,NA,"NA NA","1 NA","Anti-vaccine",75,10705.5010420135,0.000114956947888381,0
